127.0.0.1 - - [08/May/2023:17:16:36 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:16:37 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:16:37 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=0 HTTP/1.1" 200 2917444
127.0.0.1 - - [08/May/2023:17:20:17 +0530] "GET /Blog/images/liked-icon.png HTTP/1.1" 200 1583
127.0.0.1 - - [08/May/2023:17:20:18 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:20:18 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=0 HTTP/1.1" 200 2917445
127.0.0.1 - - [08/May/2023:17:20:18 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:20:18 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=0 HTTP/1.1" 200 2917445
127.0.0.1 - - [08/May/2023:17:20:20 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:20:20 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=6451505&liked=0 HTTP/1.1" 200 2917442
127.0.0.1 - - [08/May/2023:17:20:21 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:20:21 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=6451505&liked=0 HTTP/1.1" 200 2917442
127.0.0.1 - - [08/May/2023:17:20:23 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:20:23 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=1 HTTP/1.1" 200 2917445
127.0.0.1 - - [08/May/2023:17:20:23 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:20:23 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=1 HTTP/1.1" 200 2917445
127.0.0.1 - - [08/May/2023:17:21:14 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=1 HTTP/1.1" 200 2917472
127.0.0.1 - - [08/May/2023:17:21:14 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:21:15 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:21:15 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=1 HTTP/1.1" 200 2917472
127.0.0.1 - - [08/May/2023:17:21:19 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=6451505&liked=1 HTTP/1.1" 200 2917502
127.0.0.1 - - [08/May/2023:17:21:19 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:21:19 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:21:19 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=6451505&liked=1 HTTP/1.1" 200 2917502
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/index.jsp HTTP/1.1" 200 17654
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/images/img-1.png HTTP/1.1" 200 872228
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/images/img-5.png HTTP/1.1" 200 46194
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/images/banner-img.png HTTP/1.1" 200 932496
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/images/img-2.png HTTP/1.1" 200 597493
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/images/img-3.png HTTP/1.1" 200 149443
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/images/Contact-us.jpg HTTP/1.1" 200 98566
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:21:27 +0530] "GET /Blog/index.jsp HTTP/1.1" 200 17654
127.0.0.1 - - [08/May/2023:17:21:29 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 2917502
127.0.0.1 - - [08/May/2023:17:21:29 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:21:30 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:21:30 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 2917502
127.0.0.1 - - [08/May/2023:17:21:42 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=6451505&liked=0 HTTP/1.1" 200 2917472
127.0.0.1 - - [08/May/2023:17:21:42 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:21:42 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:21:43 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=6451505&liked=0 HTTP/1.1" 200 2917472
127.0.0.1 - - [08/May/2023:17:22:34 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=0 HTTP/1.1" 200 2917442
127.0.0.1 - - [08/May/2023:17:22:34 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:22:35 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:22:35 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=0 HTTP/1.1" 200 2917442
127.0.0.1 - - [08/May/2023:17:22:39 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=1 HTTP/1.1" 200 2917472
127.0.0.1 - - [08/May/2023:17:22:39 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [08/May/2023:17:22:40 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [08/May/2023:17:22:40 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=9411510&liked=1 HTTP/1.1" 200 2917472
