127.0.0.1 - - [28/Mar/2023:22:49:53 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:53 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=1 HTTP/1.1" 200 8734
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:49:56 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:38 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:38 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:51:38 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:51:38 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:38 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:44 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:44 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:51:44 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:51:44 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:44 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:45 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:46 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=1101124&liked=0 HTTP/1.1" 200 8702
127.0.0.1 - - [28/Mar/2023:22:51:52 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=3811010&liked=1 HTTP/1.1" 200 8716
127.0.0.1 - - [28/Mar/2023:22:51:52 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:51:52 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:51:52 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=3811010&liked=1 HTTP/1.1" 200 8716
127.0.0.1 - - [28/Mar/2023:22:51:52 +0530] "GET /Blog/LikeServlet?uid=7757100&bid=3811010&liked=1 HTTP/1.1" 200 8716
127.0.0.1 - - [28/Mar/2023:22:52:56 +0530] "GET /Blog/Read.jsp?id=1115646&bid=1101124 HTTP/1.1" 200 7734
127.0.0.1 - - [28/Mar/2023:22:52:56 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:52:56 +0530] "GET /Blog/displayImage.jsp HTTP/1.1" 500 48768
127.0.0.1 - - [28/Mar/2023:22:52:56 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:52:56 +0530] "GET /Blog/Read.jsp?id=1115646&bid=1101124 HTTP/1.1" 200 7734
127.0.0.1 - - [28/Mar/2023:22:52:56 +0530] "GET /Blog/Read.jsp?id=1115646&bid=1101124 HTTP/1.1" 200 7734
127.0.0.1 - - [28/Mar/2023:22:53:04 +0530] "GET /Blog/Read.jsp?id=7757100&bid=3811010 HTTP/1.1" 200 8464
127.0.0.1 - - [28/Mar/2023:22:53:04 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [28/Mar/2023:22:53:04 +0530] "GET /Blog/displayImage.jsp HTTP/1.1" 500 48768
127.0.0.1 - - [28/Mar/2023:22:53:04 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [28/Mar/2023:22:53:04 +0530] "GET /Blog/Read.jsp?id=7757100&bid=3811010 HTTP/1.1" 200 8464
127.0.0.1 - - [28/Mar/2023:22:53:04 +0530] "GET /Blog/Read.jsp?id=7757100&bid=3811010 HTTP/1.1" 200 8464
